Date,Close,LogRet1
2021-01-02,32127.267578125,0.08959001114880642
2021-01-03,32782.0234375,0.020175172403393154
2021-01-04,31971.9140625,-0.02502246735581663
2021-01-05,33992.4296875,0.06128001171320478
2021-01-06,36824.36328125,0.08002182823088061
2021-01-07,39371.04296875,0.06687092425852742
2021-01-08,40797.609375,0.0355928898794487
2021-01-09,40254.546875,-0.01340052262051337
2021-01-10,38356.44140625,-0.04830048595686678
2021-01-11,35566.65625,-0.07551390060372581
2021-01-12,33922.9609375,-0.04731647785882869
2021-01-13,37316.359375,0.09533972073625589
2021-01-14,39187.328125,0.048921612778852486
2021-01-15,36825.3671875,-0.06216649897230796
2021-01-16,36178.140625,-0.017731847143619858
2021-01-17,35791.27734375,-0.010750872199338055
2021-01-18,36630.07421875,0.02316538885922865
2021-01-19,36069.8046875,-0.015413522880192659
2021-01-20,35547.75,-0.014579216975338103
2021-01-21,30825.69921875,-0.14252813081835994
2021-01-22,33005.76171875,0.06833341147530216
2021-01-23,32067.642578125,-0.028834641394269323
2021-01-24,32289.37890625,0.006890847351743181
2021-01-25,32366.392578125,0.0023822686367903426
2021-01-26,32569.849609375,0.006266383460683916
2021-01-27,30432.546875,-0.06787434522440919
2021-01-28,33466.09765625,0.0950202595471698
2021-01-29,34316.38671875,0.025090070847817985
2021-01-30,34269.5234375,-0.0013665573129015413
2021-01-31,33114.359375,-0.034289423389572346
2021-02-01,33537.17578125,0.0126875420679964
2021-02-02,35510.2890625,0.057167938879420434
2021-02-03,37472.08984375,0.053773897801538996
2021-02-04,36926.06640625,-0.01467867670382311
2021-02-05,38144.30859375,0.03245885330843299
2021-02-06,39266.01171875,0.02898274128113115
2021-02-07,38903.44140625,-0.009276588183404773
2021-02-08,46196.46484375,0.17182056188812328
2021-02-09,46481.10546875,0.0061426193854515
2021-02-10,44918.18359375,-0.03420320342962812
2021-02-11,47909.33203125,0.06446761605839371
2021-02-12,47504.8515625,-0.008478464657924508
2021-02-13,47105.515625,-0.008441745251820123
2021-02-14,48717.2890625,0.033643879906238475
2021-02-15,47945.05859375,-0.015978235928812496
2021-02-16,49199.87109375,0.0258352607407487
2021-02-17,52149.0078125,0.058214152169521576
2021-02-18,51679.796875,-0.009038226589304248
2021-02-19,55888.1328125,0.07828513543693166
2021-02-20,56099.51953125,0.0037751835203801024
2021-02-21,57539.9453125,0.02535215971053203
2021-02-22,54207.3203125,-0.05966344725525414
2021-02-23,48824.42578125,-0.10458524450100902
2021-02-24,49705.33203125,0.017881495738120444
2021-02-25,47093.8515625,-0.053969759252051705
